n,r,m
(:Artwork {name: 秦琼、尉迟恭03}),[:DEPICTS],(:Figure {name: 凤目长须将军})
(:Artwork {name: 秦琼、尉迟恭03}),[:DEPICTS],(:Figure {name: 环眼虬须将军})
(:Figure {name: 凤目长须将军}),[:DEPICTS],(:Object {name: 倒缨帅盔})
(:Figure {name: 凤目长须将军}),[:DEPICTS],(:Object {name: 锁子铠甲})
(:Figure {name: 凤目长须将军}),[:DEPICTS],(:Object {name: 鱼鳞铠甲})
(:Figure {name: 凤目长须将军}),[:DEPICTS],(:Object {name: 金瓜锤})
(:Figure {name: 凤目长须将军}),[:DEPICTS],(:Object {name: 箭壶})
(:Figure {name: 凤目长须将军}),[:DEPICTS],(:Object {name: 弓韬})
(:Figure {name: 环眼虬须将军}),[:DEPICTS],(:Object {name: 倒缨帅盔})
(:Figure {name: 环眼虬须将军}),[:DEPICTS],(:Object {name: 锁子铠甲})
(:Figure {name: 环眼虬须将军}),[:DEPICTS],(:Object {name: 鱼鳞铠甲})
(:Figure {name: 环眼虬须将军}),[:DEPICTS],(:Object {name: 金瓜锤})
(:Figure {name: 环眼虬须将军}),[:DEPICTS],(:Object {name: 箭壶})
(:Figure {name: 环眼虬须将军}),[:DEPICTS],(:Object {name: 弓韬})
(:Artwork {name: 秦琼、尉迟恭03}),[:IS_A],(:Attribute {name: 杨柳青门神画的代表之作})
(:Artwork {name: 秦琼、尉迟恭03}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/3.%E7%A7%A6%E7%90%BC%E3%80%81%E5%B0%89%E8%BF%9F%E6%81%AD03-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 秦琼、尉迟恭04}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 秦琼、尉迟恭04}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 秦琼、尉迟恭04}),[:DEPICTS],(:Figure {name: 将军门神})
(:Figure {name: 将军门神}),[:DEPICTS],(:Object {name: 金瓜锤})
(:Figure {name: 将军门神}),[:DEPICTS],(:Object {name: 弓韬})
(:Figure {name: 将军门神}),[:DEPICTS],(:Object {name: 箭壶})
(:Figure {name: 将军门神}),[:SYMBOLIZES],(:Symbol {name: 迎福祉})
(:Artwork {name: 秦琼、尉迟恭04}),[:BELONGS_TO_ERA],(:Era {name: 春节至元夕})
(:Artwork {name: 秦琼、尉迟恭04}),[:REFERENCES],(:Document {name: 原始文本描述})
(:Artwork {name: 秦琼、尉迟恭04}),[:DEPICTS],(:Figure {name: 武将})
